street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22716,G00022245,FLATBUSH AVE
NA,RESERVOIR,NA,NA,NA,NA,NA,71,71,22717,G00022246,RESERVOIR
NA,FLATBUSH AVE,NA,495,525,NA,NA,71,NA,22718,G00022247,FLATBUSH AVE
NA,UNDERHILL PL,NA,NA,NA,NA,NA,71,71,22719,G00022248,UNDERHILL PL
NA,BROADWAY,NA,1601,1617,1458,1472,179,250,22722,G00022249,BROADWAY
NA,BROADWAY,NA,1637,1647,1492,1504,179,250,22723,G00022250,BROADWAY
NA,TRUXTON,NA,27,65,2,50,250,250,22726,G00022251,TRUXTON
SACKMAN,SACKMAN,NA,NA,NA,NA,NA,250,250,22727,G00022252,SACKMAN
NA,SACKMAN,NA,1,NA,2,NA,250,250,22731,G00022253,SACKMAN
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22732,G00022254,BROOKLYN JAMAICA TURNPIKE
NA,SOMERS,NA,111,133,92,128,250,250,22733,G00022255,SOMERS
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22734,G00022256,BROOKLYN JAMAICA TURNPIKE
NA,SOMERS,NA,135,137,NA,NA,250,250,22735,G00022257,SOMERS
NA,SACKMAN,NA,NA,NA,NA,NA,250,250,22736,G00022258,SACKMAN
NA,SOMERS,NA,139,201,130,182,250,250,22737,G00022259,SOMERS
NA,HULL,NA,207,NA,180,NA,250,250,22741,G00022260,HULL
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22742,G00022261,BROOKLYN JAMAICA TURNPIKE
NA,STONE,NA,51,NA,60,NA,250,250,22743,G00022262,STONE
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22744,G00022263,BROOKLYN JAMAICA TURNPIKE
NA,STONE AVE,NA,33,49,42,58,250,250,22746,G00022264,STONE AVE
NA,MACDOUGAL,NA,245,277,230,260,250,250,22749,G00022265,MACDOUGAL
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22750,G00022266,BROOKLYN JAMAICA TURNPIKE
NA,MACDOUGAL,NA,279,313,262,292,250,250,22751,G00022267,MACDOUGAL
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22753,G00022268,BROOKLYN JAMAICA TURNPIKE
SUMPTER,SUMPTER,NA,337,403,318,386,250,250,22754,G00022269,SUMPTER
NA,MARION,NA,375,405,382,406,250,250,22759,G00022270,MARION
NA,BROOKLYN JAMAICA TURNPIKE,NA,NA,NA,NA,NA,250,250,22760,G00022271,BROOKLYN JAMAICA TURNPIKE
NA,MARION,NA,407,437,408,442,250,250,22761,G00022272,MARION
NA,HOPKINSON,NA,91,109,90,104,250,250,22762,G00022273,HOPKINSON
